"Longitude"	"Latitude"	"Collector"	"Collection.Number"	"Genus"	"Species"	"Country"	"StateProvince"	"MinimumElevation"	"MaximumElevation"	"REPOSITORIO"	"SP"
"-39.1815805"	"-16.3721094"	"S. A. Mori"	"10322"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-65.55"	"3.17"	"D. Coomes"	"1"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	106	"NA"	220947	"P. aracouchini"
"-45.2508"	"-3.4919"	"W. L. Bal?e"	"1002"	"Protium"	"aracouchini"	"Brazil"	"Maranh?o"	"NA"	"NA"	220947	"P. aracouchini"
"-77.02"	"-0.43"	"W. A. Palacios"	"1009"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	250	250	220947	"P. aracouchini"
"-72.67"	"-7.63111"	"C. A. Cid Ferreira"	"10147B"	"Protium"	"aracouchini"	"Brazil"	"Acre"	"NA"	"NA"	220947	"P. aracouchini"
"-60.17"	"-12.75"	"M. G. Vieira"	"1024"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-72.13"	"-0.65"	"E. Alvarez"	"1017"	"Protium"	"elegans"	"Colombia"	"Amazonas"	200	300	220947	"P. elegans"
"-67.42"	"2.92"	"J. A. Steyermark"	"102859"	"Protium"	"elegans"	"Venezuela"	"Amazonas"	125	125	220947	"P. elegans"
"-66.383333"	"6.15"	"Delgado, L."	303	"Protium"	"sp. 1"				550		"P. sp. 1"
"-60.187944"	"5.852139"	"Tripp, E."	3058	"Protium"	"sp. 1"				840		"P. sp. 1"
"-67.566667"	"4.9"	"Castillo, A."	4198	"Protium"	"sp. 1"				"NA"		"P. sp. 1"
"-67.05"	"1.933333"	"Clark, H.L."	6736	"Protium"	"sp. 1"				119		"P. sp. 1"
"-66.116667"	"0.833333"	"Liesner, R."	15904	"Protium"	"sp. 1"				500		"P. sp. 1"
"-65.95"	"0.85"	"Liesner, R."	16683	"Protium"	"sp. 1"				870		"P. sp. 1"
"-66.125"	"5.691667"	"Liesner, R."	21379	"Protium"	"sp. 1"				650		"P. sp. 1"
"-66.141667"	"5.683333"	"Liesner, R."	21439	"Protium"	"sp. 1"				1000		"P. sp. 1"
"-65.783333"	"1.433333"	"Liesner, R."	22072	"Protium"	"sp. 1"				1550		"P. sp. 1"
"-65.816667"	"1.533333"	"Liesner, R."	22465	"Protium"	"sp. 1"				1400		"P. sp. 1"
"-65.816667"	"1.533333"	"Liesner, R."	22626	"Protium"	"sp. 1"				1400		"P. sp. 1"
"-65.980556"	"0.866667"	"Nee, M."	31187	"Protium"	"sp. 1"				1300		"P. sp. 1"
"-65.980556"	"0.866667"	"Nee, M."	31188	"Protium"	"sp. 1"				1300		"P. sp. 1"
"-76.083333"	"7.5"	"Gentry, A.H."	63893	"Protium"	"sp. 1"				200		"P. sp. 1"
"-64.222222"	"4.694444"	"Steyermark, J.A."	109047	"Protium"	"sp. 1"				1320		"P. sp. 1"
"-62.5"	"3.75"	"Steyermark, J.A."	123997	"Protium"	"sp. 1"				1420		"P. sp. 1"
"-62.5"	"3.75"	"Steyermark, J.A."	123997	"Protium"	"sp. 1"				1420		"P. sp. 1"
"-65.516667"	"3.716667"	"Steyermark, J.A."	130634	"Protium"	"sp. 1"				1350		"P. sp. 1"
"-66.383333"	"6.566667"	"Fernandez"	5789	"Protium"	"sp. 2"				800		"P. sp. 2"
"-76.435833"	"7.243333"	"Brand, J."	238	"Protium"	"sp. 3"				25		"P. sp. 3"
"-76.435833"	"7.243333"	"Brand, J."	274	"Protium"	"sp. 3"				25		"P. sp. 3"
"-76.8333"	"7.5"	"Cardenas, D."	1226	"Protium"	"sp. 3"				300		"P. sp. 3"
"-76.8333"	"7.5"	"Cardenas, D."	1655	"Protium"	"sp. 3"				540		"P. sp. 3"
"-76.8333"	"7.5"	"Cardenas, D."	1777	"Protium"	"sp. 3"				250		"P. sp. 3"
